symbol,strategy,total_return_pct,sharpe_ratio,max_drawdown_pct,total_trades,win_rate_pct,profit_factor
GBPUSD,Breakout,-27.338420888764283,-0.6981632552663508,-31.88272337654236,246,37.39837398373984,0.8045648299892479
GBPUSD,EMACross,-40.167473685116775,-0.6581840107222888,-48.042548799754236,656,39.02439024390244,0.8868895794038112
USDCHF,TrendFollowing,-59.074534447704075,-0.9178745663709843,-64.27008306316513,1034,39.361702127659576,0.838456923358225
USDCHF,MeanReversion,-15.538778973994027,-0.2562997301068954,-22.93936603248804,384,41.66666666666667,0.9303045345093752
USDCHF,MACD,-8.322743175746217,-0.005545260147172452,-35.98613016887137,1073,42.684063373718544,0.9888576498670016
USDCHF,RSI_Stoch,4.613419631042404,0.13419209017217487,-21.046721800864052,442,43.665158371040725,1.018753683302417
USDCHF,Momentum,9.944445004552094,0.8192764593376305,-2.044574523703341,15,66.66666666666666,2.7595715188606853
USDCHF,TripleScreen,-17.233091660665266,-0.4893682284268176,-22.921307737256534,170,38.82352941176471,0.8408764574863401
USDCHF,Breakout,-17.15806471037611,-0.38871950751850753,-23.206967998249986,247,40.48582995951417,0.8816459453042638
USDCHF,EMACross,-36.59684891703271,-0.5967025623005827,-48.23814358012172,612,40.032679738562095,0.901519152940188
AUDUSD,TrendFollowing,-72.54004953474211,-1.3478682167934546,-76.46128237329017,1078,37.47680890538033,0.8109546011122085
AUDUSD,MeanReversion,-41.18390041651936,-0.9528404197643897,-44.713544266146904,372,36.82795698924731,0.7842316835121487
AUDUSD,MACD,-52.905955333754285,-0.7430233674887576,-61.31730772321077,1074,39.57169459962756,0.8911066601716399
AUDUSD,RSI_Stoch,-27.940791941436803,-0.4761945626897377,-30.100550917742535,488,39.75409836065574,0.8901661258776126
AUDUSD,Momentum,-10.098224211656358,-0.6972216208982841,-14.707739832617314,32,28.125,0.5447749007855954
AUDUSD,TripleScreen,9.67044809783495,0.3060388073618057,-12.730227200675495,144,45.13888888888889,1.1074034530841501
AUDUSD,Breakout,-12.151445629638058,-0.3278977754976071,-15.59660116262819,167,39.52095808383233,0.8775320503191351
AUDUSD,EMACross,-41.877027776909394,-0.6921062994295433,-45.36656703879993,665,39.097744360902254,0.8856424596450699
USDCAD,TrendFollowing,-50.570377013231074,-0.7163657595334363,-62.08773731662571,1011,39.56478733926805,0.863842153632934
USDCAD,MeanReversion,-9.02499301062215,-0.1412221751186312,-17.940820563058576,319,41.692789968652036,0.9510410436436179
USDCAD,MACD,-57.01159174738228,-0.830376678836243,-60.62476040825384,1102,39.473684210526315,0.8672273807560419
USDCAD,RSI_Stoch,-14.144791185401463,-0.2125285610707553,-30.1622142456419,417,41.247002398081534,0.9459749968639244
USDCAD,Momentum,0.4626135369322881,0.11757891379337729,-1.0106458481192284,2,50.0,1.4577405010797757
USDCAD,TripleScreen,-16.83880225820956,-0.4965940980308724,-25.139360002220556,160,38.125,0.8152090949598566
USDCAD,Breakout,-7.802283017577705,-0.1506204510115405,-16.474057604373872,231,41.55844155844156,0.9443369200502627
USDCAD,EMACross,-59.068403147899474,-1.181772133281728,-60.36257417351818,676,37.278106508875744,0.7932658810491204
EURJPY,TrendFollowing,-38.070999124549395,-0.4435562230886073,-41.98193570480356,1062,39.92467043314501,0.9301540084457024
EURJPY,MeanReversion,-38.91043468795748,-0.8966103198630685,-42.419473879992495,362,36.46408839779006,0.785468436195736
EURJPY,MACD,-52.43879815018657,-0.7355395492990074,-56.710082856125595,1071,39.028944911297856,0.8981586036389005
EURJPY,RSI_Stoch,-27.03779016804937,-0.5049015207108466,-37.7911541130921,417,38.84892086330935,0.8814988121433572
EURJPY,Momentum,1.4746659043632482,0.11772883781808754,-3.463263839445268,26,42.30769230769231,1.0980330124962563
EURJPY,TripleScreen,3.8960052984924998,0.14542817109295145,-9.164668783006258,149,42.95302013422819,1.043549304492276
EURJPY,Breakout,12.294068422936345,0.346676680968813,-19.503252262122825,177,44.632768361581924,1.100690327073729
EURJPY,EMACross,-30.628501908014126,-0.46017495592233076,-40.5544610721168,629,39.42766295707472,0.912735105709072
GBPJPY,TrendFollowing,-51.64675505636174,-0.7289317796709166,-61.07158540776108,1044,38.984674329501914,0.914930242134954
GBPJPY,MeanReversion,-36.806089525770716,-0.8552521287412786,-39.70914876636522,344,36.627906976744185,0.8002584679806188
GBPJPY,MACD,-40.49617712398936,-0.4918713472831775,-55.43576034677638,1049,39.84747378455672,0.9401124301471887
GBPJPY,RSI_Stoch,-50.59664670016358,-1.2131616530224774,-52.63751621124545,418,35.16746411483253,0.7353330320467719
GBPJPY,Momentum,-7.99435308833607,-0.5115707803938325,-7.994353088335986,35,31.428571428571427,0.659377574067216
GBPJPY,TripleScreen,-0.22584619277870033,0.027184009727071645,-11.228483239181493,153,41.830065359477125,0.9975742587953706
GBPJPY,Breakout,-20.003210105408943,-0.5412726781498726,-23.829806016757576,197,37.56345177664975,0.8318462494584392
GBPJPY,EMACross,-32.8579797621918,-0.5273874587760775,-43.9952128617133,594,39.225589225589225,0.9095179335687198
