2026-01-26 14:59:27 | INFO     | src.training.calibration:load:356 | Calibrator loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_save_load0\calibrator: method=isotonic
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:__init__:116 | ModelComparator initialized
2026-01-26 14:59:27 | INFO     | src.training.trainer:prepare_data:233 | Data split: train=350, val=75, test=75
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:275 | Training LightGBM model...
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:288 | Training complete. Best iteration: 49
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:332 | Train RMSE: 0.106182, Val RMSE: 0.123803
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:334 | Train Direction Acc: 0.969, Val Direction Acc: 0.947
2026-01-26 14:59:27 | INFO     | src.training.trainer:save:132 | Training result saved to C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_add_model_success0\model_v1
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:__init__:116 | ModelComparator initialized
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:add_model:164 | Added model: model_v1 (version=v1, baseline=True)
2026-01-26 14:59:27 | INFO     | src.training.trainer:prepare_data:233 | Data split: train=350, val=75, test=75
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:275 | Training LightGBM model...
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:288 | Training complete. Best iteration: 49
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:332 | Train RMSE: 0.106182, Val RMSE: 0.123803
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:334 | Train Direction Acc: 0.969, Val Direction Acc: 0.947
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:__init__:116 | ModelComparator initialized
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:add_model:164 | Added model: model_v1 (version=v1, baseline=True)
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:compare_metrics:288 | Comparison complete: 1 models, 17 metrics
2026-01-26 14:59:27 | INFO     | src.training.trainer:prepare_data:233 | Data split: train=350, val=75, test=75
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:275 | Training LightGBM model...
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:288 | Training complete. Best iteration: 49
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:332 | Train RMSE: 0.106182, Val RMSE: 0.123803
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:334 | Train Direction Acc: 0.969, Val Direction Acc: 0.947
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:__init__:116 | ModelComparator initialized
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:add_model:164 | Added model: model_v1 (version=v1, baseline=True)
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:compare_metrics:288 | Comparison complete: 1 models, 17 metrics
2026-01-26 14:59:27 | INFO     | src.training.trainer:prepare_data:233 | Data split: train=350, val=75, test=75
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:275 | Training LightGBM model...
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:288 | Training complete. Best iteration: 49
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:332 | Train RMSE: 0.106182, Val RMSE: 0.123803
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:334 | Train Direction Acc: 0.969, Val Direction Acc: 0.947
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:__init__:116 | ModelComparator initialized
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:add_model:164 | Added model: model_v1 (version=v1, baseline=True)
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:compare_metrics:288 | Comparison complete: 1 models, 17 metrics
2026-01-26 14:59:27 | INFO     | src.training.trainer:prepare_data:233 | Data split: train=350, val=75, test=75
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:275 | Training LightGBM model...
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:288 | Training complete. Best iteration: 49
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:332 | Train RMSE: 0.106182, Val RMSE: 0.123803
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:334 | Train Direction Acc: 0.969, Val Direction Acc: 0.947
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:__init__:116 | ModelComparator initialized
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:add_model:164 | Added model: model_v1 (version=v1, baseline=True)
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:compare_metrics:288 | Comparison complete: 1 models, 17 metrics
2026-01-26 14:59:27 | INFO     | src.training.trainer:prepare_data:233 | Data split: train=350, val=75, test=75
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:275 | Training LightGBM model...
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:288 | Training complete. Best iteration: 49
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:332 | Train RMSE: 0.106182, Val RMSE: 0.123803
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:334 | Train Direction Acc: 0.969, Val Direction Acc: 0.947
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:__init__:116 | ModelComparator initialized
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:add_model:164 | Added model: model_v1 (version=v1, baseline=True)
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:compare_metrics:288 | Comparison complete: 1 models, 17 metrics
2026-01-26 14:59:27 | INFO     | src.training.model_comparison:export_results:676 | Comparison results exported to C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_export_results0\report.json
2026-01-26 14:59:27 | INFO     | src.training.trainer:prepare_data:233 | Data split: train=350, val=75, test=75
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:275 | Training LightGBM model...
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:288 | Training complete. Best iteration: 49
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:332 | Train RMSE: 0.106182, Val RMSE: 0.123803
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:334 | Train Direction Acc: 0.969, Val Direction Acc: 0.947
2026-01-26 14:59:27 | INFO     | src.training.trainer:save:132 | Training result saved to C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_save_load1\result
2026-01-26 14:59:27 | INFO     | src.training.hyperopt:save:122 | Optimization result saved to C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_save_load2\optim_result
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_init_with_mock_model0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=enabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_validate_features_valid0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=disabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_validate_features_empty0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=disabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_validate_features_multipl0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=disabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_validate_features_missing0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=disabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_validate_features_nan_val0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=disabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_validate_features_inf_val0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=disabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_estimate_confidence0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=disabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_map_direction_buy0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=disabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_map_direction_sell0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=disabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_map_direction_neutral0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=disabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_predict_single0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=disabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_predict_with_quantiles0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=disabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_predict_batch0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=disabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_cache_behavior0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=enabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_clear_cache0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=enabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:clear_cache:446 | Cache cleared
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_get_cache_stats0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=enabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.inference.predictor:_load_model:195 | Model loaded from C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_get_model_info0\model: 4 features, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.inference.predictor:__init__:175 | PredictionService initialized: cache=disabled, warmup_time=0.00ms
2026-01-26 14:59:29 | INFO     | src.training.registry:__init__:73 | ModelRegistry initialized: base_path=C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_init0\registry, keep_versions=5
2026-01-26 14:59:29 | INFO     | src.training.registry:__init__:73 | ModelRegistry initialized: base_path=C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_register_model0\registry, keep_versions=5
2026-01-26 14:59:29 | INFO     | src.training.registry:register:187 | Model registered: version=20260126_055929, path=C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_register_model0\registry\20260126_055929, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.training.registry:__init__:73 | ModelRegistry initialized: base_path=C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_register_with_metadata0\registry, keep_versions=5
2026-01-26 14:59:29 | INFO     | src.training.registry:register:187 | Model registered: version=20260126_055929, path=C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_register_with_metadata0\registry\20260126_055929, direction_accuracy=0.550
2026-01-26 14:59:29 | INFO     | src.training.registry:__init__:73 | ModelRegistry initialized: base_path=C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_promote_to_production0\registry, keep_versions=5
2026-01-26 14:59:29 | INFO     | src.training.registry:register:187 | Model registered: version=20260126_055929, path=C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_promote_to_production0\registry\20260126_055929, direction_accuracy=0.550
2026-01-26 14:59:29 | WARNING  | src.training.registry:_create_symlink:129 | Symlink failed, falling back to copy: C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_promote_to_production0\registry\production\latest -> C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_promote_to_production0\registry\20260126_055929
2026-01-26 14:59:29 | INFO     | src.training.registry:promote_to_production:230 | Model promoted to production: 20260126_055929
2026-01-26 14:59:29 | INFO     | src.training.registry:__init__:73 | ModelRegistry initialized: base_path=C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_list_versions0\registry, keep_versions=5
2026-01-26 14:59:29 | INFO     | src.training.registry:register:187 | Model registered: version=20260126_055929, path=C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_list_versions0\registry\20260126_055929, direction_accuracy=0.550
